Date,Open,High,Low,Close,Adj Close,Volume
2015-12-10,206.610001,208.580002,206.300003,207.009995,186.746841,6195600
2015-12-11,204.589996,205.259995,202.630005,202.889999,183.030151,8088900
2015-12-14,203.220001,204.179993,201.100006,204.179993,184.193848,8135300
2015-12-15,205.869995,207.250000,205.679993,206.190002,186.007126,4734900
2015-12-16,207.619995,209.580002,205.919998,209.169998,188.695450,5650100
2015-12-17,209.589996,209.679993,206.000000,206.080002,185.907898,6569100
2015-12-18,205.130005,205.229996,202.139999,202.220001,182.425751,7050500
2015-12-21,203.830002,204.229996,202.429993,203.960007,183.995407,3705000
2015-12-22,205.039993,206.229996,203.910004,205.850006,185.700409,4574300
2015-12-23,207.080002,208.460007,206.940002,208.440002,188.036896,5300100
2015-12-24,206.979996,207.539993,206.639999,206.830002,187.653107,2254700
2015-12-28,206.089996,206.449997,205.149994,206.339996,187.208572,3710800
2015-12-29,207.559998,208.800003,207.500000,208.509995,189.351685,4690800
2015-12-30,208.130005,208.210007,206.779999,206.970001,187.953201,5214000
2015-12-31,206.210007,206.899994,204.869995,204.869995,186.046158,6230700
2016-01-04,201.470001,202.009995,199.589996,202.000000,183.439865,7440000
2016-01-05,202.309998,202.880005,201.039993,202.419998,183.821228,5262200
2016-01-06,199.360001,201.020004,198.570007,199.770004,181.414764,5496600
2016-01-07,196.300003,198.399994,194.570007,194.990005,177.073929,7545000
2016-01-08,196.139999,196.809998,192.520004,192.830002,175.112411,8904100
2016-01-11,193.949997,194.330002,190.779999,193.029999,175.294022,7486800
2016-01-12,194.850006,195.500000,192.080002,194.520004,176.647125,5444600
2016-01-13,195.350006,195.809998,189.300003,189.789993,172.351746,7003900
2016-01-14,190.479996,194.199997,188.570007,192.800003,175.085159,6909900
2016-01-15,187.639999,189.690002,186.460007,188.740005,171.398209,8833200
2016-01-19,190.800003,191.009995,187.119995,188.839996,171.489044,7617200
2016-01-20,185.929993,188.410004,181.899994,186.649994,169.500183,10177900
2016-01-21,187.110001,189.789993,185.580002,187.619995,170.381119,8809600
2016-01-22,190.710007,191.669998,189.820007,191.490005,173.895538,4370100
2016-01-25,190.860001,191.080002,188.339996,188.570007,171.243820,4088400
